date,day,confirmed,deaths,recovered
2020-01-31,0,2,0,0
2020-02-01,1,2,0,0
2020-02-02,2,2,0,0
2020-02-03,3,2,0,0
2020-02-04,4,2,0,0
2020-02-05,5,2,0,0
2020-02-06,6,2,0,0
2020-02-07,7,3,0,0
2020-02-08,8,3,0,0
2020-02-09,9,3,0,0
2020-02-10,10,3,0,0
2020-02-11,11,3,0,0
2020-02-12,12,3,0,0
2020-02-13,13,3,0,0
2020-02-14,14,3,0,0
2020-02-15,15,3,0,0
2020-02-16,16,3,0,0
2020-02-17,17,3,0,0
2020-02-18,18,3,0,0
2020-02-19,19,3,0,0
2020-02-20,20,3,0,0
2020-02-21,21,20,1,0
2020-02-22,22,62,2,1
2020-02-23,23,155,3,2
2020-02-24,24,229,7,1
2020-02-25,25,322,10,1
2020-02-26,26,453,12,3
2020-02-27,27,655,17,45
2020-02-28,28,888,21,46
2020-02-29,29,1128,29,46
2020-03-01,30,1694,34,83
2020-03-02,31,2036,52,149
2020-03-03,32,2502,79,160
2020-03-04,33,3089,107,276
2020-03-05,34,3858,148,414
2020-03-06,35,4636,197,523
2020-03-07,36,5883,233,589
2020-03-08,37,7375,366,622
2020-03-09,38,9172,463,724
2020-03-10,39,10149,631,724
2020-03-11,40,12462,827,1045
2020-03-12,41,12462,827,1045
2020-03-13,42,17660,1266,1439
2020-03-14,43,21157,1441,1966
2020-03-15,44,24747,1809,2335
2020-03-16,45,27980,2158,2749
2020-03-17,46,31506,2503,2941
2020-03-18,47,35713,2978,4025
2020-03-19,48,41035,3405,4440
2020-03-20,49,47021,4032,4440
2020-03-21,50,53578,4825,6072
2020-03-22,51,59138,5476,7024
2020-03-23,52,63927,6077,7024
2020-03-24,53,69176,6820,8326
2020-03-25,54,74386,7503,9362
2020-03-26,55,80589,8215,10361
2020-03-27,56,86498,9134,10950
2020-03-28,57,92472,10023,12384
2020-03-29,58,97689,10779,13030
