date,day,confirmed,deaths,recovered,active
2020-03-05,0,7,0,0,0
2020-03-06,1,13,0,0,0
2020-03-07,2,19,0,0,0
2020-03-08,3,25,0,0,0
2020-03-09,4,25,0,0,0
2020-03-10,5,34,0,0,0
2020-03-11,6,52,0,0,0
2020-03-12,7,77,0,0,0
2020-03-13,8,98,0,0,0
2020-03-14,9,121,0,0,0
2020-03-15,10,200,0,0,0
2020-03-16,11,234,0,0,0
2020-03-17,12,291,1,0,0
2020-03-18,13,428,4,0,0
2020-03-19,14,621,6,0,0
2020-03-20,15,904,11,0,0
2020-03-21,16,1128,18,0,0
2020-03-22,17,1546,25,0,0
2020-03-23,18,1891,34,0,0
2020-03-24,19,2201,46,0,0
2020-03-25,20,2433,57,0,0
2020-03-26,21,2915,77,0,0
2020-03-27,22,3417,92,0,0
2020-03-28,23,3904,114,0,0
2020-03-29,24,4256,136,0,0
2020-03-30,25,4579,159,0,0
2020-03-31,26,5717,201,0,0
2020-04-01,27,6836,241,0,0
2020-04-02,28,7910,299,0,0
2020-04-03,29,9056,359,0,0
2020-04-04,30,10278,432,0,0
2020-04-05,31,11130,486,0,0
2020-04-06,32,12056,553,0,0
2020-04-07,33,13717,667,0,0
2020-04-08,34,15927,800,0,0
2020-04-09,35,17857,941,0,0
2020-04-10,36,19638,1056,0,0
2020-04-11,37,20727,1124,0,0
2020-04-12,38,22169,1223,0,0
2020-04-13,39,23430,1328,0,0
2020-04-14,40,25262,1532,0,0
2020-04-15,41,28320,1736,0,0
2020-04-16,42,30425,1924,0,0
2020-04-17,43,33682,2141,0,0
2020-04-18,44,36599,2347,0,0
2020-04-19,45,38654,2462,0,0
2020-04-20,46,40581,2575,0,0
2020-04-21,47,43079,2741,0,0
2020-04-22,48,45757,2906,0,0
2020-04-23,49,49492,3313,0,0
2020-04-24,50,52995,3670,0,0
2020-04-25,51,58509,4016,0,0
2020-04-26,52,61888,4205,0,0
2020-04-27,53,66501,4543,0,0
2020-04-28,54,71886,5017,0,0
2020-04-29,55,78162,5466,0,0
2020-04-30,56,85380,5901,0,0
2020-05-01,57,91299,6329,0,0
2020-05-02,58,96396,6724,0,0
2020-05-03,59,101147,7025,0,0
2020-05-04,60,107780,7321,0,0
2020-05-05,61,114715,7921,0,0
2020-05-06,62,125218,8536,0,0
