date,day,cases,deaths,recoveries,active
2020-03-07,0,9,0,0,0
2020-03-08,1,12,0,0,0
2020-03-09,2,13,0,0,0
2020-03-10,3,21,0,0,0
2020-03-11,4,25,0,0,0
2020-03-12,5,30,0,0,0
2020-03-13,6,38,0,0,0
2020-03-14,7,42,0,0,0
2020-03-15,8,48,0,0,0
2020-03-16,9,51,0,0,0
2020-03-17,10,60,0,0,0
2020-03-18,11,63,0,0,0
2020-03-19,12,63,1,0,0
2020-03-20,13,94,1,0,0
2020-03-21,14,103,2,0,0
2020-03-22,15,170,4,0,0
2020-03-23,16,214,6,0,0
2020-03-24,17,278,7,0,0
2020-03-25,18,331,10,0,0
2020-03-26,19,368,11,0,0
2020-03-27,20,431,11,0,0
2020-03-28,21,489,14,0,0
2020-03-29,22,515,15,0,0
2020-03-30,23,553,18,0,0
2020-03-31,24,583,20,0,0
2020-04-01,25,697,24,0,0
2020-04-02,26,807,31,0,0
2020-04-03,27,867,36,0,0
2020-04-04,28,982,38,0,0
2020-04-05,29,1068,42,0,0
2020-04-06,30,1110,47,0,0
2020-04-07,31,1251,59,0,0
2020-04-08,32,1449,73,0,0
2020-04-09,33,1633,82,0,0
2020-04-10,34,1808,92,0,0
2020-04-11,35,1905,98,0,0
2020-04-12,36,1996,106,0,0
2020-04-13,37,2322,115,0,0
2020-04-14,38,2393,140,0,0
2020-04-15,39,2519,167,0,0
2020-04-16,40,2659,195,0,0
2020-04-17,41,2946,219,0,0
2020-04-18,42,3059,237,0,0
2020-04-19,43,3127,245,0,0
2020-04-20,44,3243,257,0,0
2020-04-21,45,3587,283,0,0
2020-04-22,46,3656,303,0,0
2020-04-23,47,4027,322,0,0
2020-04-24,48,4091,347,0,0
2020-04-25,49,4481,367,0,0
2020-04-26,50,4498,382,0,0
2020-04-27,51,5261,405,0,0
2020-04-28,52,5554,456,0,0
2020-04-29,53,5689,496,0,0
2020-04-30,54,5903,535,0,0
2020-05-01,55,6189,574,0,0
2020-05-02,56,6448,603,0,0
2020-05-03,57,6750,631,0,0
2020-05-04,58,7283,670,0,0
2020-05-05,59,7832,713,0,0
2020-05-06,60,8577,764,0,0
